Experiment,datafile,Layer,SumSliceX,SumSliceXsame,SumSliceXgain,SumSliceXlost
SM_1_03042019_FR,SM_1_03042019_FR_02_t1_ORG,2000,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_03_t1_ORG,200,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_03_t1_ORG,400,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_03_t1_ORG,600,1856,306,1550,837
SM_1_03042019_FR,SM_1_03042019_FR_03_t1_ORG,800,442,317,125,221
SM_1_03042019_FR,SM_1_03042019_FR_03_t1_ORG,1000,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_03_t1_ORG,1200,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_03_t1_ORG,1400,0,0,0,161
SM_1_03042019_FR,SM_1_03042019_FR_03_t1_ORG,1600,0,0,0,338
SM_1_03042019_FR,SM_1_03042019_FR_03_t1_ORG,1800,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_03_t1_ORG,2000,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_04_t1_ORG,200,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_04_t1_ORG,400,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_04_t1_ORG,600,2425,1640,785,216
SM_1_03042019_FR,SM_1_03042019_FR_04_t1_ORG,800,466,368,98,74
SM_1_03042019_FR,SM_1_03042019_FR_04_t1_ORG,1000,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_04_t1_ORG,1200,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_04_t1_ORG,1400,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_04_t1_ORG,1600,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_04_t1_ORG,1800,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_04_t1_ORG,2000,250,0,250,0
SM_1_03042019_FR,SM_1_03042019_FR_05_t1_ORG,200,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_05_t1_ORG,400,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_05_t1_ORG,600,1518,1367,151,1058
SM_1_03042019_FR,SM_1_03042019_FR_05_t1_ORG,800,31,31,0,435
SM_1_03042019_FR,SM_1_03042019_FR_05_t1_ORG,1000,2130,0,2130,0
SM_1_03042019_FR,SM_1_03042019_FR_05_t1_ORG,1200,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_05_t1_ORG,1400,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_05_t1_ORG,1600,145,0,145,0
SM_1_03042019_FR,SM_1_03042019_FR_05_t1_ORG,1800,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_05_t1_ORG,2000,0,0,0,250
SM_1_03042019_FR,SM_1_03042019_FR_06_t1_ORG,200,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_06_t1_ORG,400,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_06_t1_ORG,600,743,207,536,1311
SM_1_03042019_FR,SM_1_03042019_FR_06_t1_ORG,800,29,15,14,16
SM_1_03042019_FR,SM_1_03042019_FR_06_t1_ORG,1000,675,353,322,1777
SM_1_03042019_FR,SM_1_03042019_FR_06_t1_ORG,1200,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_06_t1_ORG,1400,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_06_t1_ORG,1600,0,0,0,145
SM_1_03042019_FR,SM_1_03042019_FR_06_t1_ORG,1800,0,0,0,0
