Experiment,datafile,Layer,SumSliceY,SumSliceYsame,SumSliceYgain,SumSliceYlost
SM_1_03042019_FR,SM_1_03042019_FR_06_t1_ORG,400,229,0,229,0
SM_1_03042019_FR,SM_1_03042019_FR_06_t1_ORG,600,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_06_t1_ORG,800,0,0,0,380
SM_1_03042019_FR,SM_1_03042019_FR_06_t1_ORG,1000,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_06_t1_ORG,1200,214,131,83,720
SM_1_03042019_FR,SM_1_03042019_FR_06_t1_ORG,1400,328,207,121,1311
SM_1_03042019_FR,SM_1_03042019_FR_06_t1_ORG,1600,232,222,10,473
SM_1_03042019_FR,SM_1_03042019_FR_06_t1_ORG,1800,360,15,345,16
SM_1_03042019_FR,SM_1_03042019_FR_07_t1_ORG,200,513,2,511,82
SM_1_03042019_FR,SM_1_03042019_FR_07_t1_ORG,400,542,0,542,229
SM_1_03042019_FR,SM_1_03042019_FR_07_t1_ORG,600,879,0,879,0
SM_1_03042019_FR,SM_1_03042019_FR_07_t1_ORG,800,0,0,0,0
SM_1_03042019_FR,SM_1_03042019_FR_07_t1_ORG,1000,869,0,869,0
SM_1_03042019_FR,SM_1_03042019_FR_07_t1_ORG,1200,923,0,923,214
SM_1_03042019_FR,SM_1_03042019_FR_07_t1_ORG,1400,1052,36,1016,292
SM_1_03042019_FR,SM_1_03042019_FR_07_t1_ORG,1600,0,0,0,232
SM_1_03042019_FR,SM_1_03042019_FR_07_t1_ORG,1800,890,0,890,360
SM_1_03042019_FR,SM_1_03042019_FR_08_t1_ORG,200,3226,50,3176,463
SM_1_03042019_FR,SM_1_03042019_FR_08_t1_ORG,400,697,130,567,412
SM_1_03042019_FR,SM_1_03042019_FR_08_t1_ORG,600,2120,776,1344,103
SM_1_03042019_FR,SM_1_03042019_FR_08_t1_ORG,800,2377,0,2377,0
SM_1_03042019_FR,SM_1_03042019_FR_08_t1_ORG,1000,2469,291,2178,578
SM_1_03042019_FR,SM_1_03042019_FR_08_t1_ORG,1200,3331,879,2452,44
SM_1_03042019_FR,SM_1_03042019_FR_08_t1_ORG,1400,4317,497,3820,555
SM_1_03042019_FR,SM_1_03042019_FR_08_t1_ORG,1600,5214,0,5214,0
SM_1_03042019_FR,SM_1_03042019_FR_08_t1_ORG,1800,2914,590,2324,300
SM_1_03042019_FR,SM_1_03042019_FR_09_t1_ORG,200,2781,1684,1097,1542
SM_1_03042019_FR,SM_1_03042019_FR_09_t1_ORG,400,1205,446,759,251
SM_1_03042019_FR,SM_1_03042019_FR_09_t1_ORG,600,2097,1362,735,758
SM_1_03042019_FR,SM_1_03042019_FR_09_t1_ORG,800,1637,1253,384,1124
SM_1_03042019_FR,SM_1_03042019_FR_09_t1_ORG,1000,4603,1418,3185,1051
SM_1_03042019_FR,SM_1_03042019_FR_09_t1_ORG,1200,3882,1824,2058,1507
SM_1_03042019_FR,SM_1_03042019_FR_09_t1_ORG,1400,4177,2084,2093,2233
SM_1_03042019_FR,SM_1_03042019_FR_09_t1_ORG,1600,7364,2550,4814,2664
SM_1_03042019_FR,SM_1_03042019_FR_09_t1_ORG,1800,5521,1300,4221,1614
SM_1_03042019_FR,SM_1_03042019_FR_10_t1_ORG,200,13852,389,13463,2392
SM_1_03042019_FR,SM_1_03042019_FR_10_t1_ORG,400,4674,0,4674,1205
SM_1_03042019_FR,SM_1_03042019_FR_10_t1_ORG,600,792,0,792,2097
